displacement[ticks], load[N]
14, 21.9303
48, 44.4861
80, 72.5136
65, 62.0404
88, 82.1698
18, 15.1215
38, 41.4407
68, 63.625
84, 78.0845
53, 50.2798
71, 66.5219
91, 85.5865
22, 31.7598
90, 64.0707
53, 50.6016
90, 82.8878
48, 44.1147
53, 49.537
91, 82.863
77, 74.6182
79, 74.9896
58, 54.3898
64, 59.8864
97, 92.0982
91, 87.3445
31, 25.8918
85, 45.3774
56, 44.8327
61, 57.6085
73, 67.9084
75, 69.9387
77, 71.9937
25, 19.2563
58, 54.0927
46, 42.0102
15, 13.2646
77, 70.5824
84, 75.9552
85, 78.4311
0, 62.7585
40, 35.746
60, 55.3802
57, 53.7213
62, 57.9799
51, 48.3733
13, 10.0706
56, 51.2701
4, 5.39113
68, 62.2385
50, 46.8135
81, 75.1133
50, 46.5411
11, 9.1793
46, 42.0349
50, 45.3279
5, 5.24257
79, 71.4242
37, 32.4531
61, 57.1876
44, 40.8712
13, 10.0954
40, 35.4737
23, 17.3004
39, 34.6071
3, 1.60295
69, 62.7337
55, 51.7406
79, 70.211
56, 53.548
43, 38.94
45, 41.3912
97, 89.3004
6, 6.23294
6, 6.43102
63, 57.9552
58, 53.9689
21, 16.1119
20, 14.8244
62, 56.7419
90, 82.2935
71, 68.4283
45, 41.3664
41, 37.7515
83, 74.8162
93, 84.7695
92, 83.5315
87, 82.5907
74, 71.9689
32, 27.6002
51, 47.0115
20, 16.8299
46, 41.4407
92, 84.72
45, 42.0844
86, 77.6883
94, 86.4284
17, 12.9922
43, 39.0638
76, 68.5769
74, 68.255
88, 80.0405
24, 18.5383
74, 66.101
94, 88.1367
32, 27.1546
38, 34.0624
55, 50.2302
54, 50.0817
60, 55.9249
18, 14.3788
45, 41.3416
35, 30.1257
63, 58.5246
89, 82.4916
20, 16.6814
58, 53.7956
84, 78.1092
10, 8.65936
36, 31.0418
18, 13.5122
62, 57.6333
58, 54.0432
65, 60.2825
57, 54.1917
5, 5.81204
54, 49.7598
55, 50.2798
23, 17.7213
3, 1.75151
32, 27.4517
6, 6.08439
90, 83.7296
58, 55.8754
75, 68.6264
86, 78.7777
91, 83.6058
16, 13.3141
43, 38.0982
47, 42.1339
77, 68.2798
62, 58.995
94, 87.5425
14, 11.8285
28, 23.5397
86, 78.2825
35, 30.1257
87, 80.6099
72, 69.8891
46, 42.6291
26, 21.2618
92, 84.6704
12, 9.1793
84, 75.9799
60, 58.178
69, 64.6402
90, 81.9222
17, 13.0665
27, 22.0541
15, 12.9675
19, 14.1807
60, 55.9496
16, 13.4131
11, 9.03075
21, 16.1862
92, 86.775
3, 1.72675
15, 11.4324
10, 7.79278
44, 40.1532
62, 51.493
89, 81.3775
11, 8.70887
59, 55.1573
6, 45.0803
38, 33.2949
47, 43.1986
42, 38.0487
28, 23.2921
23, 34.1119
89, 56.6924
54, 51.8891
18, 19.5039
4, 32.8492
42, 37.8258
79, 71.1519
74, 68.5769
34, 37.4049
97, 89.3995
4, 4.9207
50, 46.4668
19, 14.2302
64, 44.8327
67, 62.2633
31, 45.0555
86, 58.4256
63, 46.4916
33, 28.2935
5, 21.4352
74, 66.8685
78, 60.4558
67, 46.8877
66, 63.3032
88, 79.6691
29, 24.3568
73, 66.2743
27, 36.0679
78, 59.6388
17, 16.8794
57, 51.3939
5, 25.5452
9, 8.33749
14, 15.5177
23, 17.3499
12, 9.8478
57, 51.8644
5, 5.39113
85, 73.8011
92, 86.057
6, 6.18342
90, 81.625
45, 42.233
24, 19.801
56, 51.9882
15, 44.5851
57, 48.6952
45, 45.1793
79, 73.8011
90, 45.4022
50, 47.4572
57, 52.9042
70, 65.0363
21, 16.5823
25, 20.6181
62, 56.6924
51, 48.1505
3, 44.8327
91, 82.6154
33, 28.4668
19, 15.6662
51, 46.3926
39, 34.8052
29, 28.2935
65, 60.4063
62, 58.5741
43, 44.6346
25, 42.1339
68, 63.3279
32, 27.6745
20, 42.1339
73, 53.1518
24, 19.4544
67, 45.1793
3, 14.5768
82, 59.4902
83, 75.2619
58, 55.9249
31, 26.6099
65, 59.7378
50, 47.4324
82, 73.7268
24, 19.603
24, 24.0844
7, 25.9414
50, 44.907
86, 78.4311
59, 56.94
52, 44.6594
80, 69.8396
93, 87.493
72, 57.559
33, 28.2687
34, 28.962
5, 5.39113
3, 4.35124
3, 24.8272
46, 42.0349
28, 38.5934
68, 53.6223
80, 71.1271
49, 45.2536
45, 41.2921
8, 6.5053
18, 13.3141
47, 42.7034
90, 63.625
5, 5.36637
8, 7.02524
23, 31.3141
69, 61.3472
59, 55.603
10, 7.61946
94, 88.9538
84, 45.4022
15, 21.559
46, 41.0941
73, 62.2137
75, 67.9332
3, 2.86568
55, 47.8286
71, 65.7048
72, 45.1298
90, 83.5068
9, 11.3334
76, 66.9923
92, 72.885
11, 8.11465
26, 21.6828
22, 30.9675
78, 70.9043
9, 6.77765
72, 64.5411
26, 20.8409
16, 28.8382
91, 68.9483
75, 71.8451
8, 41.0693
96, 49.8589
82, 62.3623
33, 36.2165
67, 60.6539
44, 44.6594
42, 41.5397
63, 58.4751
31, 26.5356
59, 49.537
11, 8.90695
9, 6.97572
36, 42.332
12, 20.5438
64, 58.5989
10, 8.01561
86, 48.7447
56, 54.0927
20, 17.0775
64, 59.2674
50, 44.8575
30, 31.6112
92, 84.1753
75, 72.3155
11, 23.1436
4, 33.0225
50, 45.0803
38, 33.1958
20, 14.9482
44, 42.9015
15, 12.2495
29, 44.907
42, 37.5782
5, 5.66348
63, 56.1972
11, 9.8478
45, 40.2275
7, 6.95096
76, 70.7062
76, 58.1037
67, 63.8726
89, 83.1106
84, 45.4022
7, 6.45578
5, 25.0005
51, 46.0459
16, 12.918
90, 84.101
11, 8.48604
37, 32.5521
58, 44.4861
61, 44.5604
68, 63.0803
52, 48.6952
39, 45.1546
80, 71.5728
55, 52.211
90, 83.7543
21, 17.8203
76, 47.8533
36, 32.7997
37, 33.1958
10, 22.8712
78, 70.0872
37, 32.6016
73, 66.918
91, 80.8823
82, 79.2234
81, 68.5274
69, 67.2151
61, 59.2179
49, 46.8877
60, 55.9496
49, 46.343
56, 50.9978
65, 60.3073
3, 45.1546
73, 51.9634
58, 54.8355
12, 9.4269
13, 25.0748
18, 13.7103
76, 67.3637
82, 74.0982
71, 56.6181
17, 29.0115
65, 59.2922
30, 25.05
10, 26.7584
86, 78.7282
10, 44.907
46, 43.0005
26, 20.94
18, 13.735
26, 21.1876
64, 58.3265
92, 84.0515
21, 31.2398
49, 44.2137
76, 60.0102
91, 60.852
13, 10.244
28, 22.7969
54, 49.9084
62, 45.2784
85, 77.0941
22, 17.6222
65, 60.1092
61, 45.2784
81, 73.3802
79, 56.4448
75, 71.3499
3, 4.97022
57, 48.1257
60, 52.83
75, 56.7419
75, 44.808
27, 21.9799
7, 7.66898
86, 77.515
16, 16.5328
16, 13.5865
34, 43.4462
42, 37.9001
36, 31.5865
62, 44.8327
10, 8.31273
31, 25.6442
84, 47.9276
59, 56.123
10, 19.4297
78, 71.3995
73, 68.6759
38, 39.4352
35, 30.299
38, 39.1133
26, 20.5191
58, 52.8052
6, 6.03487
88, 79.6443
42, 38.3705
86, 78.3073
65, 62.8575
44, 44.5604
46, 44.7089
28, 33.9139
21, 17.2013
23, 18.3155
56, 50.9235
29, 23.4654
12, 9.00599
72, 66.8437
47, 44.2385
47, 44.0404
18, 35.6222
83, 73.2069
13, 9.67449
28, 35.7956
17, 12.9675
9, 7.66898
88, 79.7929
27, 21.8066
78, 70.2358
64, 53.0528
66, 61.5452
16, 12.5961
5, 5.0445
93, 45.3774
75, 66.8437
10, 8.23845
84, 74.4201
19, 16.1862
97, 44.8327
51, 45.6745
64, 53.5975
45, 45.1793
80, 58.797
87, 69.0721
69, 67.2894
39, 35.028
18, 24.6044
81, 71.2757
14, 11.9523
regression coefficients for polynomial of 4 degree:
17.0291	-0.752992	0.0564287	-0.000762998	3.44943e-06	
