displacement[ticks], load[N]
45, 41.0941
81, 76.079
55, 51.691
74, 69.4435
13, 10.2935
47, 42.5301
9, 7.32235
4, 1.18204
20, 15.5177
4, 1.4544
25, 21.559
31, 44.6346
71, 65.4572
4, 1.47916
91, 44.5356
88, 82.3926
5, 4.57407
49, 44.5604
73, 67.0418
25, 20.1724
31, 27.2041
51, 46.5163
42, 37.6278
94, 84.4476
56, 51.9386
10, 8.13941
37, 31.9084
65, 59.9854
90, 84.1257
83, 79.0501
61, 57.3114
37, 44.6842
67, 44.808
20, 13.8836
15, 9.60021
79, 72.5879
67, 62.5356
22, 44.4613
80, 74.5934
87, 81.3527
25, 19.9001
9, 8.18893
20, 16.6319
15, 9.89732
11, 44.5108
13, 12.0019
88, 82.6154
17, 11.1353
64, 58.1285
63, 57.3362
41, 37.2316
96, 85.2151
19, 13.1903
84, 78.5301
93, 84.5962
74, 71.0528
93, 84.0515
32, 26.7584
42, 37.9991
86, 80.8327
18, 12.7694
7, 5.53968
25, 22.7226
84, 78.5054
24, 19.2811
40, 36.7364
64, 45.3279
91, 82.3183
63, 59.4407
47, 43.2976
80, 74.742
89, 83.5068
56, 52.6071
5, 4.42551
89, 81.7736
68, 64.962
20, 13.5369
81, 74.742
83, 77.614
82, 76.2275
45, 41.2426
27, 21.9799
81, 75.4105
63, 44.6346
16, 11.4819
76, 70.0624
40, 36.6621
11, 8.90695
11, 8.75839
83, 76.2028
96, 84.8933
28, 22.9207
88, 81.526
24, 19.4297
16, 10.6401
15, 10.9125
66, 59.3912
81, 74.2715
11, 8.48604
30, 25.2481
30, 25.3967
91, 80.4366
22, 16.9785
87, 81.0556
95, 84.2743
16, 11.3829
58, 52.2605
17, 11.0115
95, 82.8383
44, 39.4847
5, 1.60295
43, 38.5934
73, 66.3733
83, 76.5246
9, 8.53556
87, 79.3719
62, 58.5989
49, 44.7832
97, 84.8438
73, 71.1519
34, 28.6896
96, 84.3981
5, 4.00461
25, 23.0198
22, 16.8547
19, 14.9235
41, 36.5136
88, 79.8176
5, 1.62771
50, 45.0555
21, 15.9634
33, 27.2288
44, 39.9551
43, 38.9895
23, 18.365
42, 36.8355
59, 53.7213
82, 75.3362
58, 55.0088
57, 54.1917
28, 23.0445
59, 53.7956
5, 1.85054
5, 1.67723
45, 39.2371
13, 8.65936
91, 78.7035
10, 7.27283
63, 57.0638
90, 80.3128
83, 78.5301
97, 85.8837
88, 85.1161
87, 83.4572
24, 19.8506
15, 10.3677
9, 7.14904
67, 60.233
5, 3.90557
11, 8.88219
20, 15.592
26, 22.1532
44, 39.3361
66, 59.6388
70, 63.8479
69, 62.6842
12, 9.20406
32, 26.3623
54, 48.5714
70, 62.9565
90, 81.3032
83, 79.5453
32, 26.9812
94, 83.0858
86, 81.8974
78, 75.4847
10, 8.53556
80, 72.6127
86, 80.2138
72, 69.5177
73, 69.592
71, 68.9978
71, 67.9332
63, 61.0005
60, 58.277
97, 86.0817
78, 76.0294
68, 67.2399
66, 64.1697
82, 75.8561
80, 75.46
87, 80.2138
12, 9.99636
28, 22.3017
56, 50.6016
83, 76.0047
9, 8.28797
67, 60.134
18, 12.4971
54, 48.6456
39, 35.7213
12, 8.65936
39, 35.1766
71, 64.5659
8, 6.33198
27, 23.2921
50, 44.808
16, 11.2591
11, 8.04037
40, 35.746
88, 80.1147
83, 78.1092
15, 10.7887
62, 55.6525
48, 45.0308
74, 66.819
61, 58.5989
28, 23.3911
44, 39.4599
29, 23.1931
14, 9.47641
27, 24.5301
18, 13.7598
24, 18.6869
56, 49.8589
75, 68.3788
11, 8.04037
56, 50.7749
45, 40.7474
27, 21.7818
13, 8.48604
84, 77.1436
38, 33.3692
52, 47.0363
58, 52.3843
46, 41.6635
79, 72.5631
13, 9.55069
63, 57.0143
89, 80.288
53, 49.3389
54, 50.9235
74, 67.8836
68, 65.4572
19, 13.636
24, 19.3554
43, 37.1573
79, 72.4889
54, 52.1119
89, 80.907
13, 10.0211
66, 59.9854
18, 12.7446
31, 25.6938
92, 81.0556
76, 73.6525
10, 8.04037
5, 3.08851
34, 31.2398
54, 49.017
32, 27.9469
47, 42.5549
40, 35.6718
70, 63.8726
5, 1.57819
5, 1.3306
19, 14.9482
82, 73.9992
15, 10.3677
82, 74.9648
73, 69.8891
67, 64.4668
39, 34.5824
50, 45.2536
37, 32.3788
57, 51.7901
76, 68.5274
81, 74.3458
39, 34.6566
31, 26.1394
72, 65.482
51, 47.1106
5, 1.62771
91, 82.9868
83, 78.9015
93, 86.4036
69, 67.5865
92, 84.3981
7, 5.81204
7, 5.713
48, 42.0349
32, 27.0555
52, 46.6649
89, 82.2935
7, 5.96059
55, 49.1408
91, 83.2344
25, 20.3705
39, 34.3348
8, 6.55481
10, 11.4324
15, 13.2893
75, 68.0322
50, 46.5163
66, 59.515
16, 11.3581
11, 8.28797
44, 38.9895
96, 84.9923
50, 47.0611
77, 69.6415
71, 67.9827
5, 3.01423
77, 70.0129
65, 62.3128
86, 80.0405
74, 72.068
37, 33.8396
82, 74.7667
75, 71.8451
43, 38.3458
31, 26.1147
10, 8.21369
97, 84.72
22, 17.0528
16, 10.442
55, 48.6456
16, 10.8382
40, 36.3155
95, 86.3541
23, 18.6126
53, 46.6401
14, 10.2687
5, 1.4544
5, 1.38012
80, 71.647
17, 11.3829
16, 12.1752
25, 19.4297
16, 9.9716
67, 60.0349
6, 4.59883
87, 79.4215
71, 68.6759
82, 75.3609
55, 51.7406
59, 54.2908
59, 53.7708
93, 84.7447
43, 38.6924
35, 31.6855
38, 34.2357
75, 68.2798
45, 41.1683
38, 33.6415
16, 10.5163
61, 55.2069
94, 84.4229
18, 13.0418
5, 3.16279
91, 82.2688
41, 36.6126
57, 51.8396
7, 6.03487
43, 39.0143
63, 57.5095
85, 78.3073
61, 58.4503
81, 73.9001
15, 10.9125
76, 69.0968
49, 45.9964
18, 12.8189
65, 58.896
22, 17.746
5, 2.98947
23, 16.6566
82, 74.4696
64, 61.1243
19, 13.3389
28, 24.1339
5, 1.40488
58, 52.1615
7, 5.34161
47, 41.4159
97, 85.2399
8, 6.57957
10, 11.2591
93, 83.1354
24, 19.702
16, 10.6896
87, 79.6691
